,Year,StateCode,MSN,ratio,Description
0,1960,AZ,CLTCB,0.07879601687737173,Coal total consumption.
1,1960,AZ,BMTCB,1.508757217474257,Biomass total consumption
2,1960,AZ,GETCB,0.0,Geothermal energy total consumption.
3,1960,AZ,NGTCB,52.739349402153955,Natural gas total consumption (including supplemental gaseous fuels).
4,1960,AZ,PMTCB,45.67309736349442,All petroleum products total consumption excluding fuel ethanol.
5,1960,AZ,SOTCB,0.0,Photovoltaic and solar thermal energy total consumption.
6,1960,AZ,NUETB,0.0,Electricity produced from nuclear power.
7,1960,CA,CLTCB,1.1017084906187407,Coal total consumption.
8,1960,CA,BMTCB,2.519215058627911,Biomass total consumption
9,1960,CA,GETCB,0.01101736145742653,Geothermal energy total consumption.
10,1960,CA,NGTCB,39.947363905568054,Natural gas total consumption (including supplemental gaseous fuels).
11,1960,CA,PMTCB,56.42067948250089,All petroleum products total consumption excluding fuel ethanol.
12,1960,CA,SOTCB,0.0,Photovoltaic and solar thermal energy total consumption.
13,1960,CA,NUETB,1.5701226980082e-05,Electricity produced from nuclear power.
14,1960,NM,CLTCB,1.2498530749511207,Coal total consumption.
15,1960,NM,BMTCB,2.0380216794630477,Biomass total consumption
16,1960,NM,GETCB,0.0,Geothermal energy total consumption.
17,1960,NM,NGTCB,63.746169964615376,Natural gas total consumption (including supplemental gaseous fuels).
18,1960,NM,PMTCB,32.96595528097046,All petroleum products total consumption excluding fuel ethanol.
19,1960,NM,SOTCB,0.0,Photovoltaic and solar thermal energy total consumption.
20,1960,NM,NUETB,0.0,Electricity produced from nuclear power.
21,1960,TX,CLTCB,0.563646028577461,Coal total consumption.
22,1960,TX,BMTCB,0.8643389657174736,Biomass total consumption
23,1960,TX,GETCB,0.0,Geothermal energy total consumption.
24,1960,TX,NGTCB,63.544779307649065,Natural gas total consumption (including supplemental gaseous fuels).
25,1960,TX,PMTCB,35.02723569805599,All petroleum products total consumption excluding fuel ethanol.
26,1960,TX,SOTCB,0.0,Photovoltaic and solar thermal energy total consumption.
27,1960,TX,NUETB,0.0,Electricity produced from nuclear power.
28,1961,AZ,CLTCB,0.07263208036922525,Coal total consumption.
29,1961,AZ,BMTCB,1.322862758215271,Biomass total consumption
30,1961,AZ,GETCB,0.0,Geothermal energy total consumption.
31,1961,AZ,NGTCB,54.8501903064838,Natural gas total consumption (including supplemental gaseous fuels).
32,1961,AZ,PMTCB,43.7543148549317,All petroleum products total consumption excluding fuel ethanol.
33,1961,AZ,SOTCB,0.0,Photovoltaic and solar thermal energy total consumption.
34,1961,AZ,NUETB,0.0,Electricity produced from nuclear power.
35,1961,CA,CLTCB,1.7189094134283531,Coal total consumption.
36,1961,CA,BMTCB,2.4284902896331313,Biomass total consumption
37,1961,CA,GETCB,0.029120082268570473,Geothermal energy total consumption.
38,1961,CA,NGTCB,40.7192803548614,Natural gas total consumption (including supplemental gaseous fuels).
39,1961,CA,PMTCB,55.10259244364095,All petroleum products total consumption excluding fuel ethanol.
