百度 baidu
女友 女朋友
奸夫 情夫 姘夫
情妇 奸妇 二奶 姘妇
有志者 有志之士
猛士 铁汉 硬汉子 勇者 硬汉 硬骨头 勇敢者 血性汉子 大丈夫
懒汉 懒虫
鬼魔 厉鬼 撒旦 阎罗 鬼神 死神 魔鬼 阎王爷 魔王 魔 恶鬼 阎罗王 阎王
油嘴 顺风转舵 油嘴滑舌 油腔滑调 轻嘴薄舌
造假者 弄虚作假者
孝子 孝子贤孙
孽障 不肖子孙 不孝之子 业障 逆子 不成人子 孽种
破鞋 荡妇 淫妇
色鬼 渔色之徒 色情狂
温吞水 慢性子 慢郎中
夜猫子 猫头鹰 夜游神 鸱鸺
白面书生 文弱书生
大作家 杰作 文豪 绝唱 名著 巨制 神品 写家 大手笔 书画 册页 绝响 雄文 文学家 作家群 名篇 墨宝 压卷之作 大作品 作家 佳作 巨著 大作 笔杆子 香花 翰墨 名作 文宗 大笔 鸿篇巨制 散文家 女作家 力作 字画
词宗 诗仙 诗圣
文痞 文侩
文盲 睁眼瞎子 科盲 睁眼瞎 半文盲
大老粗 土包子
新手 生手
多面手 通才 百事通 万事通 全才 通人
有识之士 明白人 亮眼人 明眼人
机灵鬼 鬼灵精 猴儿
空架子 纸老虎 泥足巨人 绣花枕头
劳动模范 劳模
爱好者 发烧友
善男信女 教徒 信教者 信徒
道教徒 道徒
伊斯兰教徒 回教徒 穆斯林
天主教徒 天主
红衣主教 枢机主教
基督徒 耶稣教徒
反派 反面人物
战犯 战争狂人 战争贩子
傀儡 儿皇帝
死刑犯 死囚
凶犯 杀人犯 凶手 杀手 刺客
从犯 同谋犯 同案犯
教唆犯 教唆者
窝主 窝家
疑凶 嫌疑人
草莽英雄 绿林 草寇 绿林好汉
殖民者 殖民主义者
惯盗 惯窃 惯贼 惯偷
黑客 盗码者
盗卖者 剽窃者
飞贼 侠盗 工贼 家贼
侵略者 征服者 入侵者
食言 出尔反尔 背信弃义 黄牛 失信 轻诺寡信 言而无信 食言而肥 自食其言
毒贩 贩毒者 毒枭
赌客 赌棍 赌徒 赌鬼
专有物 占有物
晶状体 水晶体
绝缘体 非导体
机体 有机体
等价物 同系物
附着物 附属物
抽样 样片 取样
王水 硝酸 硝镪水
乙酸 醋酸 冰醋酸
苛性钠 氢氧化钠 火碱 烧碱
碳酸钠 大苏打
胆矾 硫酸铜
白矾 明矾
单晶 硅 硅单晶 单晶硅 结晶硅 多晶硅
硫 硫磺
蛋白质 蛋白胨 干酪素 活质
正离子 阳离子
等离子 等离子体
浮游生物 海洋生物 生物 漫游生物 生物体 底栖生物 古生物
常温动物 温血动物
变温动物 冷血动物
甲壳动物 节肢动物
圆形动物 线形动物
植物 植被
阳性植物 喜光植物
农作物 作物
大秋作物 秋庄稼 晚秋作物
过冬作物 冬作物 越冬作物
菌物 微生物
飞潜动植 野物 动植物
用品 日用百货 消费品 日用品 必需品
禁药 禁品 违禁物品 危禁品 禁制品 违禁品
赃物 赃 贼赃
易燃物 易燃物品
作件 制件 工件 铸件
预制构件 构件 元件 部件
配件 构配件 备件 附件 零配件
小商品 百货 小百货 广货 杂货 日杂
国产货 国产品 国货
冷货 冷冻货
优等品 优质品 原装货
半制品 粗制品 半成品 坯料 毛坯
劣质品 处理品 滞销品 剩余产品 副品 残品 等外品 次品
复制品 仿制品
传销商品 新品种 试制品 展销品 新品 试用品
水产 海产 渔产
盛器 容器 器皿
酒器 酒具
莲蓬头 喷头
铁锚 锚
电烙铁 烙铁
电熨斗 熨斗
消火栓 消防栓
战略物资 生产资料 军资 物资 军品
原料药 原料 原材料
消费资料 生活必需品 生活资料
农械 小家电 食具 农机具 农机 家具 家电 家用电器 灶具 燃气具
贺礼 贺仪
薄礼 谢礼 小意思 千里鹅毛
彩礼 聘礼 财礼
赙仪 祭礼
矿物质 矿产 矿物 工矿 矿 矿体
残砖碎瓦 砖石 碎砖 砖 甓 锭 砖块 砖头 锭子
舟楫 船舶 舟 舫 船儿 饼饵 船只 饼 轮子 车轮 舡 艇 车轱辘 轮 轱辘 船
草屑 纸屑 木屑
焊条 焊丝
鱼钩 渔钩
蛛网 蜘蛛网
冲击波 平面波 表面波 音波 纵波 微波
鸡冠子 鸡冠
炕头 床头
表皮 浮皮 面皮 外皮
南端 南侧
东侧 东端
北侧 北端
握手 扳手 抓手 摇手 扳子 拉手
刀把 刀柄
启明星 昏星 太白星 启明 金星 晨星 长庚
火星 荧惑
木星 岁星
土星 镇星
织女 织女星
牵牛 牛郎星 喇叭花 牵牛星
北辰 北极星
白虎星 扫帚星 孛 哈雷彗星 彗星
客星 贼星 陨石 陨星 流星 陨铁
日斑 黑子 太阳黑子
满月 望月 月轮
皎月 明月 皓月
处女地 生荒 生地黄 生地
盐碱地 荒碱地 碱地 碱荒
雪原 雪地 雪峰 雪域
绿茵 草坪 绿地 青草地 草地
泽国 水乡
坻 渚 岛屿 岛 汀 屿
山腰 岭 半山区 山 群山 山梁 山体 深山 半山腰 岩层 山巅 岩 岩石 山脉 山脊 支脉 蚕簇 山峰
苍山 翠微 青山
山岗 山包 哨卡 岗哨 冈 冈峦 山冈 突地 土岗 冈陵 墚 观察哨 岗 哨所 岗子
荒山秃岭 重峦叠嶂 峦 层峦叠嶂 山山岭岭 丘陵 峰峦 荒山野岭 山岭 群峰 层峦迭嶂 山峦 山川 冰峰 分水岭 叠嶂 长岭 峻岭
稻子 粟 稻谷 黍子 谷 稷 粟子 秫 粱 禾 谷类 水稻 谷子 稻 黍 高粱
荒岭 童山 秃岭 沙岭
山间 山野
南麓 北麓 西北麓
阪 山坡
缓坡 慢坡
荒山坡 荒坡
洋流 海流
陆架 大陆坡 陆棚 大陆架
内陆海 陆海 内海
河渠 小河 浜
汊流 汊 岔流 港汊
主流 干流
口岸 海港 港湾 停泊地 港口 支流 港 海口
河曲 流觞曲水
暗流 地下水 伏流
小溪 溪 涧 细流 山涧 溪流 溪水 溪涧
泖 湖水 海子 湖泊 淀 湖
咸水湖 盐湖
粪池 化粪池
水潭 潭水 潭
湖沼 湖泽
喷泉 飞泉
汤泉 温泉
瓦砾 废墟 断井颓垣 断壁残垣 殷墟 残垣断壁 断垣残壁 堞s
雨脚 雨幕 雨滴 雨珠 雨点
牛毛雨 细雨 烟雨 蒙蒙 小雨 毛毛雨
雷雨 雷阵雨 过云雨 阵雨
黄梅雨 梅雨 霉雨
粒雪 冰棍 雪条 冰糕 棒冰 冰棍儿 冰棒 碎雪 雪糕 雪球
雹 雹子 风雹 冰雹 霰
冰锥 冰柱 冰挂
冰碴 冰粒 冰块
大风 西风
强风 台风 飓风 强台风 飚
熏风 南风
凉风 朔风 西南风 北风
热风 焚风
旋风 羊角
信风 贸易风
风雨凄凄 惨境 风风雨雨 炼狱 火坑 人间地狱 风雨交加 凄风苦雨 活地狱 苦海 渊海 地狱 风雨如磐 苦雨凄风
穿堂风 过堂风
沙暴 沙尘暴
夜风 晚风
云气 霭
彩云 火烧云 雯 云霞
庆云 祥云
严霜 冷霜
虹 彩虹 鲎
雾 雾霭 氛 雾气
暮霭 云雾 岚 烟霭
焦雷 炸雷
积水 沥水
汤药 药水 汤剂 汤 口服液 药液
冷水 生水 凉水
米泔水 泔水
水滴 水珠
营养液 培养液
春水 绿水
水泡 沤
液泡 气泡 血泡 卵泡
漪 鳞波 涟漪
旋涡 水涡 涡流 漩流
野火 燹 天火
篝火 营火
外焰 氧化焰
内焰 焰心 还原焰
星火 微火 星星之火
烟火 熟食 焰火 烟花 烟火食
蟾光 月色 月华 月光
白热 白炽
红外线 红外光 热线
紫外光 黑光 紫外 紫外线
偏振光 偏光
人影儿 人影 身形 身影
背影 后影
正电 阳电
负电 阴电
感应电流 感生电流
电磁波 电波
无线电波 高频电波
核磁共振 磁共振
暑气 热流 热浪 热气 暖气
氧气 氧
氢 氢气 重氢
氮 氮气
氯气 氯
氨气 氨 阿摩尼亚
碳酸气 碳酐 二氧化碳
沼气 甲烷
电石气 乙炔
毒气 毒瓦斯
蒸气 水蒸汽 蒸汽 汽 水汽 水蒸气
氩 氩气
氟利昂 氟化氢
冷色 寒色
补色 对比色
图案色 广告色
银灰色 银灰
噪声 噪音
国音 门面话 正音 国文 汉语言 标准音 国语 汉语 官话 普通话 华语 中文 官腔
母音 韵头 元音 韵腹
辅音 复辅音 子音
破裂音 爆发音
擦音 摩擦音
齿唇音 唇齿音
舌根音 舌面后音
卷舌音 翘舌音
音节 音缀
足音 脚步声 跫然
喊叫声 叫声
赞扬声 赞叹声 喝彩声 叫好声
鞭炮声 礼炮声 爆竹声
问候声 祝福声
无声无息 无息
悄声 低声
字调 四声
阴平 第一声
阳平 第二声
第三声 上声
去声 第四声
灰烬 烬
浮尘 浮灰 浮土
征尘 风尘
纹 纹路 纹理
指纹 螺丝扣 脶 罗纹 指印 螺纹 斗箕
手印 手模
血印 血迹 血痕 血渍
油渍 油迹
汗渍 花斑癣 汗斑 汗碱
疤 疤瘌 疮疤 瘢痕 瘢
车辙 轨辙
果树 果木
林带 树行子
偃松 苍松 迎客松 鱼鳞松 松树 罗汉松 马尾松 青松 落叶松 雪松 古松 松林 黄山松 油松
海松 红松 赤松
杉木 杉
冷杉 枞树 枞
桧 栝 刺柏
响杨 毛白杨 白杨
垂杨柳 杨柳 垂柳 柳 柳树 柳木
河柳 旱柳
过街柳 雪柳 稻树 水曲柳
蒲柳 水杨
三春柳 红柳
桐油树 梧 梧桐 泡桐 油桐 桐
法国梧桐 悬铃木
香橼 枸橼
苏铁 铁树
河北杨 椴树
椴 菩提 菩提树
板栗 栗子 栗
橡树 柞 橡 柞树 栎 橡胶树
槲栎 槲寄生
檀木 檀 青檀
棕榈 棕树 棕
桠枫 三角枫
枫香树 枫 枫树
降香 木香
交椅 椅 椅子 山桐子
空桐树 珙桐
枣树 棘 酸枣树
刺槐 洋槐
蜜柑 柑 越橘 枳 柑橘 桔树 柑子 金橘 蜜桔 金桔 柑桔 枸橘
樟 樟木 樟树
青杨 杨树 钻天杨 赤杨 小叶杨 钻天柳 黄杨 胡杨 银白杨
松柏 扁柏 桧柏 侧柏 柏树 柏 古柏 翠柏丛 翠柏 苍松翠柏
高山榕 榕树
树莓 沙棘 灌丛 灌木丛 灌木
榔榆 榆树 榆叶梅 榆
娑罗双树 娑罗树
白桦树 桦树 桦
法桐 香樟 国槐 槐 紫穗槐 古槐 龙爪槐 楠 槐树
松杉 云杉 红豆杉 紫杉 铁杉 杉篙 秃杉 油杉 水杉 南洋杉 柳杉 枯杉 红杉
长青树 常绿树 常青树
椰林 椰树林
果木林 果林
幽林 次生林 杂花生树 险崖老林 林莽 残次林
金栀 栀
筇 筱 青竹 竹 篙 竺 筠 篁 笋竹 竹子
南竹 毛竹
凤凰竹 观音竹
紫竹 墨竹 黑竹
斑竹 湘竹 湘妃竹
藿 菜叶 桑叶 箬竹 纸牌 叶子 笪 箬 树叶 叶片 霜叶 叶
篾青 竹篾
冬笋 毛笋 竹笋 竹茹 春笋
金针菜 菊 菊花 黄花菜 黄花 油菜花 秋菊
兰花 草兰 兰草 春兰 兰
珠兰 金粟兰
子午莲 睡莲
唐菖蒲 剑兰
满堂红 紫薇
木兰 辛夷 木笔
茶花 山茶花 山茶
合欢 马缨花
仙人球 仙人鞭 仙人掌
扶桑 朱槿
布谷 子规 映山红 杜鹃
月季花 月季 月月红
丁香花 紫丁香 丁香
蔷薇 野蔷薇
指甲花 凤仙花
水仙花 凌波仙子
凌霄花 紫葳
草茉莉 紫茉莉
江西腊 翠菊
西番莲 大丽花
藤萝 紫藤
蝴蝶花 三色堇
洋绣球 天竺葵
百合花 百合
茉莉 茉莉花
鲜花丛 花海 花丛 花球
山丹丹花 山丹
郁金 郁金香
草莽 草甸 草丛
野草 杂草 丛杂 荒草
茅草 茅 茆 白茅
蒿子 蒿
沿阶草 绣墩草 蒲草
鹅观草 鹅冠草
青蒿 香蒿
莱 藜
红萍 浮萍 紫萍 水萍
爬墙虎 爬山虎
藻 藻类 水藻 海藻
海带 昆布
苔藓 藓苔 苔衣 苔 青苔
细菌 菌 蕈
白木耳 银耳
灵芝 紫芝 芝
香菇 香蕈
黑木耳 木耳
五谷 庄稼 谷物 粮食作物
旱稻 陆稻
小麦 麦子 麦
大麦 春大麦
冬麦 冬小麦
春麦 春小麦
青稞 元麦 稞麦 裸麦
米汤 稀饭 糜 粥 糜子
鸡头 芡
青菜 小白菜
白菜 大白菜 菘
卷心菜 包心菜 结球甘蓝 洋白菜 圆白菜
苤蓝 甘蓝 球茎甘蓝
盖菜 芥 芥菜
花菜 花椰菜 菜花
韭芽 韭菜 韭 韭黄
莞 水葱 大葱 葱 小葱
洋葱 葱头
蒜 蒜头 大蒜 青蒜 葫
香菜 芫荽
宝塔菜 甘露 草石蚕
薇 巢菜 野豌豆
金花菜 黄花苜蓿
叶甜菜 牛皮菜
银苗 银条菜 银根菜
香椿 香椿芽 香椿头
莱菔 萝 萝卜 菲 白萝卜 小萝卜
胡萝卜 红萝卜
蔓菁 芜菁 葑
菰 茭白
笋子 莴苣 莴笋
石刁柏 芦笋 龙须菜
番椒 山鸡椒 青椒 柿椒 灯笼椒 辣子 甜椒 辣椒 柿子椒
西红柿 番茄
番瓜 南瓜 倭瓜
胡瓜 黄瓜
菜瓜 越瓜
毛豆 大豆 黄豆
蚕豆 胡豆
红小豆 小豆 赤豆 赤小豆
红豆 相思子
豆荚 豆角 豆角儿
白薯 木薯 凉薯 山芋 薯 豆薯 芋 红薯 薯类 地瓜 芋艿 苕子 番薯 甘薯 芋头
菊芋 洋姜
茨菰 慈姑
荷藕 莲藕 莲菜 藕
棚菜 大棚菜
柚子 文旦 柚
桔子 桔 蜜橘 橘 福橘 橘子 橘柑
橙子 橙 脐橙 香橙 广柑
荔枝 丹荔
榴 石榴
山樱桃 樱桃 樱
洋橄榄 油橄榄 青果 橄榄
枣子 枣
黑枣 软枣
苹果 香蕉苹果 柰 苹
梨 梨子
草莓 杨梅 草果 草豆蔻 梅毒
凤梨 菠萝蜜 菠萝 黄菠萝
椰 椰子
山杏 杏 杏子
李 李子
苌 猕猴桃 杨桃 羊桃 五敛子
木瓜 番木瓜
葡萄 野葡萄 葡 萄
核桃 胡桃
山核桃 小胡桃
香榧 榧子 香榧子 榧
桃子 桃
扁桃 蟠桃
海枣 椰枣 枣椰
龙眼 桂圆
柿子 油柿 柿
甘蕉 香蕉
肉豆蔻 肉果
白果 银杏
榛 榛子
香瓜 哈蜜瓜 甜瓜 哈密瓜
甜枣 蜜枣
中药 草药 中草药 药草 药材 中药材 国药 中医药
川芎 当归
萝芙木 蛇根草
蓟 大蓟
仙鹤草 龙牙草
豆蓉 木豆
乌梅 酸梅
南天竹 天竹
贝母 川贝
苁蓉 肉苁蓉 列当
熟地 熟地黄
麦冬 麦门冬
茨 蒺藜
苦参 西洋参 沙参 丹参 党参 土党参 太子参 人参 弹劾 高丽参 长白参 红参 洋参 玄参 参
蛇麻 啤酒花 酒花
鱼腥草 蕺
忍冬 金银花
长寿菜 马齿苋
芸 芸香
古柯 高根
葫蔓藤 野葛 钩吻
山茱萸 茱萸 食茱萸 吴茱萸
肉桂 桂皮树 桂皮 桂
枸杞子 枸杞
经济作物 技术作物
长生果 仁果 落花生 水花生 花生
朝阳花 葵花 向日葵 向阳花 葵
蓖麻 大麻子
油渣果 猪油果 油瓜
油棕 油椰子
白苏 荏
玉树 有加利 黄金树 桉树 桉
八角 茴香 大料 大茴香 八角茴香
蔗 甘蔗
糖萝卜 甜菜
碧蓝 蓝盈盈 蔚 天蓝 蓝 蓝晶晶 蓼蓝 蔚蓝 宝蓝
紫云英 红花草
苜蓿 紫花苜蓿
稗子 稗
毛茶 茶 茶树 茗 茶叶
棉 草棉 棉花
木棉 红棉
桑 桑树
大麻 线麻
种麻 苴麻
青麻 苘麻
茶叶花 罗布麻
蕉麻 马尼拉麻
芨芨草 枳机草
红藤 白藤
芦苇 苇子 苇 芦 葭 芩
马蔺 马莲 马兰
龙须草 蓑衣草
国产棉 国棉
上棉 优质棉
白色棉 白棉
彩棉 彩色棉
劣株 病株
藤条 藤蔓 藤子 藤 蔓儿 蔓
画轴 花茎 花梗
蒜薹 蒜苗
秸秆 麦茬 麦秸
枝桠 杈子 丫杈 枝杈 枝丫 树杈 杈 桠杈
蘖 蘖枝
疯枝 疯杈
柳枝 柳丝
根须 树根 柢
枫叶 红叶
蓓 花蕾 花骨朵 蕾 骨朵 蓓蕾 骨朵儿
管状花 筒状花
瓣膜 花瓣儿 瓣 活瓣 花瓣
花萼 萼片
花蕊 花轴 蕊
苞 花苞
腋芽 侧芽
叶芽 叶芽儿
母株 母本
桑果 桑葚
菱 菱角 芰
马蹄 地梨 荸荠
外果皮 果皮 中果皮
沙瓤 果肉 瓤子 肉 瓤
松子 松仁
花生仁 花生米
莲子 莲蓬子儿
芡实 鸡头米
草籽 草种
葵花子 葵花仁
力畜 役畜
狼獾 貂熊
海熊 海狮 海狗 腽肭兽
猫熊 大熊猫 熊猫 大猫熊
小猫熊 小熊猫
犀 犀牛
狗獾 獾
猪獾 沙獾 猸子
箭猪 豪猪
猬 刺猬
豹猫 貉 狸猫 貉子 山猫 狸子 狸
海狸鼠 河狸
黑貂 紫貂
貔子 黄鼬 黄鼠狼
鲮鲤 穿山甲
蝠 蝙蝠
兽王 狮 狮子
虎 大虫 老虎 於
虎仔 乳虎 幼虎 虎崽 虎子
豹 豹子 金钱豹
猛犸 毛象
白熊 北极熊
狼群 狼
狐狸 狐
火狐狸 火狐 红狐 赤狐
玄狐 银狐
白狐 北极狐
草狐 花面狸
猩猩 猩
麈 鹿群 鹿
麋鹿 麋 四不象
狍 狍子
马鹿 水鹿
麂 麂子
獐 獐子
马匹 马 马儿
儿马 驹
母马 牝马 骒马
骢 骓
马驹 马驹子 驹子
毛驴 驴 驴子
公驴 叫驴
骡子 马骡 驴骡 骡
母牛 牛 牛群
牡牛 牯牛 犍牛 公牛
奶牛 乳牛
犁牛 耕牛
牛犊 小牛 犊
扭角羚 羚 剑羚 羚羊
羊 羊群
羯 公羊 羝
羔羊 羔子 羊羔 羊崽 羔
带头羊 头羊
岩羊 石羊
猪猡 猪 豚 猪仔 猪苗 猪娃 仔猪 豕
毛猪 活猪 生猪
狗 犬 獒
猎犬 猃 猎狗
狮子狗 哈巴狗 巴儿狗 叭儿狗
兔 兔子
野猫 野兔
老鼠 耗子 鼠
小家鼠 鼷鼠
沟鼠 大家鼠 褐家鼠
天竺鼠 豚鼠
鼹鼠 鼹
大眼贼 黄鼠
灰鼠 松鼠
鳄鱼 鳄
扬子鳄 猪婆龙
鲸鱼 鲸
海豚 海猪
江猪 江豚
人鱼 儒艮
群蛇 蛇 长虫
蟒蛇 巨蟒 蚺蛇 蟒
白花蛇 五步蛇
水蛇 青蛇
蛤 文蛤 蛤蜊 蜃 蜊
四脚蛇 蜥蜴
水獭 海狸 獭
海獭 杨枝鱼 海龙
猛禽 鸷鸟
隼 鹘
绶带鸟 练鹊
鹑 鹌鹑
鸵鸟 鸵
鸨 大鸨
鹭 鹭鸶 白鹭
鱼鹰 鹗 墨鸦 鸬鹚
吐绶鸡 火鸡
绿头鸭 野鸭
燕 家燕 燕儿 小燕子 雏燕 燕子
几维鸟 无翼鸟
鹈鹕 淘河
风鸟 极乐鸟
鹊 喜鹊
朱顶 贮点红
八哥 鸲鹆 八哥儿
黄鹂 黄莺
水鸪鸪 鹁鸪
鹏 鲲鹏
禽畜 畜禽
秃鹫 坐山雕 兀鹫
麻雀 麻将
黄鸟 金丝雀
鸽子 鸽
家鸽 鹁鸽
野鸽 原鸽
乳鸽 白鸽
仙鹤 白鹤 丹顶鹤
海鸥 海燕
家鸡 鸡
公鸡 雄鸡
小鸡 雏鸡 角雉
笋鸡 童子鸡
鸭 鹜 家鸭 鸭子
菜鹅 鹅
鱼 鲜鱼 鱼类 鱼儿 鱼群
鱼秧 鱼苗 鱼种 鱼花 鱼秧子
河鱼 淡水鱼
青鱼 黑鲩
草鱼 鲩
鲫鱼 鲫
鳜 鳜鱼
鲢 白鲢
鲟鱼 鲟 鲔
胖头鱼 鳙 鳙鱼
鲥 鲥鱼
鳊 武昌鱼 鳊鱼
黑鱼 乌鱼 乌鳢
鳅 泥鳅
鳝鱼 鳝 黄鳝
墨斗鱼 墨鱼 乌贼
快鱼 鳓 鳓鱼 白鳞鱼
鲳鱼 平鱼 银鲳 鲳
鱿鱼 柔鱼
八带鱼 章鱼
比目鱼 偏口鱼
白鳗 白鳝 鳗 鳗鱼 鳗鲡
小鲵 大鲵 鲵 娃娃鱼
大马哈鱼 大麻哈鱼 鲑鱼
大头鱼 鳕 鳘
凤尾鱼 鲚
真鲷 加级鱼
燕鱼 鲅 蓝点鲅 马鲛鱼
鳎 条鳎 舌鳎 鳎目鱼
鳟 鳟鱼
鲈鱼 鲈
鱼虾 鳞甲 水族
螃蟹 蟹 河蟹
蝤蛑 梭子蟹
寄生蟹 寄居蟹
虾子 虾
大虾 明虾 对虾
河蚌 蚌
贻贝 淡菜 贝 壳菜 贝类
海蛎子 牡蛎
瓦楞子 蚶子 瓦垄子 蚶
螺蛳 螺
刺参 海参
石决明 咸鱼 鳆 鲍鱼
海蜇头 海蜇皮 蜇 海蜇
水虿 毛蚴 幼虫 尾蚴
促织 蛐蛐 蟋蟀 蛐蛐儿
刀螂 螳 螳螂
花媳妇 花大姐
曲蟮 蚯蚓
蛞蝼 蝼蛄 蝼
鲎虫 水鳖子
萤 萤火虫
知了 蜩 螗 蝉 寒蝉
衣鱼 纸鱼
蛴螬 土蚕 地蚕 地老虎 核桃虫
马鳖 水蛭 蚂蟥 蛭
松毛虫 松虎
毛虫 毛毛虫
蜈蚣 蚰蜒
星毛虫 梨狗
蜡虫 白蜡虫
沙虫 星虫
黏虫 剃枝虫
钻心虫 蛀心虫
蝎虎 壁虎
蝎子 蝎
蜗牛 蜗 水牛儿
绦虫 寸白虫
肝吸虫 肝蛭
蛤蚧 蛏子
蜜蜂 蜂
母蜂 蜂王
蚕宝宝 桑蚕 家蚕 蚕
蚁蚕 蚕蚁
老茧 茧子 茧
蛾子 飞蛾 蛾
卷叶蛾 卷叶虫
蜘蛛 蛛 蛛蛛
棉红蜘蛛 火龙 红蜘蛛
蚱蜢 蚂蚱 蝗 蝗虫
蝻子 蝻 跳蝻 蝗蝻
螟 螟虫
蚜 蚜虫 腻虫
棉蚜 棉蚜虫
麦蚜虫 麦蚜
蚊子 蚊
家蚊 库蚊
疟蚊 按蚊
伊蚊 黑斑蚊
孑孓 跟头虫
蚊虫 蚊蝇
蝇子 蝇 苍蝇
蚁 蚂蚁 蚍蜉
壁虱 蜱 臭虫
跳蚤 虼蚤 跳虫 蚤
水蚤 鱼虫 金鱼虫
虱 虱子
根瘤菌 固氮菌
抗原 抗体
菌种 菌苗
病原菌 毒菌 致病菌 病菌
病原体 病原
酵母菌 酿母菌 酵母
白醭 醭
形骸 形体 躯壳
木乃伊 尸蜡
白骨 骷髅 尸骸 骸骨 残骸 尸骨 髑髅 遗骨 枯骨
丧生者 死者 遇难者
前额 额头 额 脑门子 脑门 天庭 颡 脑门儿 天门
光头 谢顶 秃顶
后脑勺子 后脑勺 脑勺子
下颚 颔 下巴颏儿 颐 颏 下巴 下颌
腮颊 腮 腮帮子
酒窝 笑靥 靥 笑窝
脑室 脑颅 颅 颅腔 颅脑
脑上体 松果体 松果腺
脑下垂体 垂体 脑垂体
花眼 老花眼 老视眼
白眼珠 眼白
眼眶 眶 眼窝 眼圈
眦 眼角
眼底 眼里
虹膜 虹彩
结合膜 结膜
视网膜 网膜
眼角膜 泪膜
耳朵 而已 便了 如此而已 罢了 耳根 耳
鼓室 中耳
迷航 迷失 内耳 迷路 迷途
耳孔 外耳门 外耳
耳垂 耳朵垂
外听道 外耳道
鼓膜 耳鼓
耳轮 耳郭 耳屏
鼻子 鼻 鼻头
酒渣鼻 酒糟鼻
鼻腔 鼻孔
腭 上膛
喉 喉头
喉结 结喉
悬雍垂 小舌
冲服 咽头 咽 吞咽 吞食 吞 哙 咽下 服药 吞服 服用
扁桃体 扁桃腺
上颚 上颌
音带 声带
乳齿 奶牙
牙龈 牙床 齿龈 龈 牙花
门牙 臼齿 板牙 大牙 门齿 槽牙
智齿 智牙
犬齿 犬牙 虎牙
釉质 珐琅质 珐琅
肩头 双肩 肩胛 肩膀 肩
乳头 奶头
小腹 小肚子
脐 肚脐眼 肚脐
肢 四肢
肘子 肘 肘窝 手肘 肘部 胳膊肘
拳头 拳 拳脚 拳术
三拇指 将指 中拇指 中指
小拇指 小指
猪手 猪爪
鼠蹊 腹股沟
膝头 膝盖 膝
胫 小腿
腓 腿肚子
脚腕子 腿腕子 脚脖子
胯 裆部
扁平足 平足
打赤脚 赤足 科头跣足 赤脚
趾甲 爪儿 脚爪 爪 脚指甲 爪子 爪部
脚面 跗面
脚背 跗
蹄 猪蹄 爪尖儿 蹄子
羚角 羚羊角
鳍 划水
脊鳍 背鳍
翅鞘 鞘翅
睑 眼泡 眼睑 眼皮 眼帘
腠 筋肉 肌肉 肌
横纹肌 骨骼肌 随意肌
不随意肌 平滑肌
腱鞘 腱子 肌腱 腱 筋腱
汗毛 寒毛
绒毛 毛绒 绒 茸毛 毳
钢笔 秤纽 自来水笔 毛笔 毫 秤毫 纤毛 水笔 金笔 聿
鬃 鬣 马鬃 鬃毛
毡 毛毡
黑发 乌发
小辫儿 发辫 小辫子 辫子 榫 小辫 榫头 榫子 把柄 独辫　辫
乌云 青丝
髦 刘海
华发 宣发 银发
胎毛 奶毛 胎发
眉 眉毛 眼眉
柳眉 黛 柳叶眉 娥眉
眉心 印堂
眼睫毛 睫毛 睫
骺 骨骺
枕骨 颅骨 顶骨 头盖骨 头骨
眉棱骨 颧骨
肩胛骨 锁骨 琵琶骨 胛骨
椎骨 榔 槌 榔头 锤 脊椎骨 锤子 椎
颈椎 胸椎
髋骨 胯骨
肠骨 髂骨
荐骨 骶骨
髌 膝盖骨 髌骨 膝关节
腰椎 椎间盘
蠡 介壳 贝壳
鳞 鳞屑 鳞片 鱼鳞
五中 五内 五脏 五脏六腑
肝脏 肝部 肝
脾 脾脏
肾 肾盂 腰子 肾脏
肥皂 胰腺 洋碱 胰子 枧 胰岛 胰
胗 肫
鳔胶 鱼鳔 鱼胶 鳔
感官 感觉器官
上呼吸道 呼吸道 气管 支气管
食道 食管
尿道 输尿管 泌尿器
肛管 肛道
肛门 肛
肺部 肺 肺脏
胃肠 肠胃
肠管 肠道 肠 肠子
性器官 生殖器
外肾 睾丸 精巢
阴道 膣
宫颈 子宫颈
胚盘 胎盘
胞胎 娘胎
血统 血缘 血脉 血管
毛细管 毛细血管 微血管
主动脉 大动脉
主动脉弓 动脉弓
脉息 脉搏
髓 骨髓
神经细胞 神经元 神经原
运动神经 传出神经
感觉神经 传入神经
细胞核 核子
腺体 腺
淋巴结 淋巴腺
肾上腺 副肾
前列腺 摄护腺
横膈膜 膈 膈膜
潜血 隐血
血淋淋 血丝乎拉
抗毒血清 抗菌血清
淋巴 淋巴液
荷尔蒙 激素
胃酸 胃液
泪花 涕 泪液 泪水 泪 泪珠 眼泪 泗 鼻涕
耳塞 耳垢 耳屎 耵聍
眼眵 眵 眼屎
头皮 头皮屑 头发屑
果儿 鸡蛋
鸭子儿 鸭蛋
鸡蛋黄 卵黄 蛋黄
金属 小五金 五金 大五金
焊锡 锡
钢精 铝
金银 金银箔
纯金 鎏 赤金 足金
铜 铜材 黄铜
紫铜 红铜
铜线 铜丝
铝材 铝型材
矽钢 硅钢
角铁 角钢 三角铁
钢轨 铁轨
钢骨 铁筋 钢筋
天兵 重兵 铁水 钢水 坚甲利兵 劲旅 铁流 雄兵 雄师
铣铁 铸铁 生铁
锻铁 熟铁
